Game Title,Console,Price
Al Unser Jr. Turbo Racing,PS,16.61
Aladdin Deck Enhancer,PS,0.00
Aladdin [PAL],PS,88.30
Alfred Chicken,PS,207.28
Alien 3,PS,88.83
Alien Syndrome,PS,42.34
All-Pro Basketball,PS,24.17
Alpha Mission,PS,36.67
Alpha Mission [5 Screw],PS,99.99
Amagon,PS,29.57
American Gladiators,PS,34.08
Anticipation,PS,14.38
Arch Rivals: A Basketbrawl!,PS,39.65
Archer Joystick Docking Bay,PS,5.00
Archon,PS,37.83
Arkanoid,PS,174.51
Arkanoid [5 Screw],PS,0.00
Arkista's Ring,PS,103.52
Astyanax,PS,35.48
Astérix [PAL],PS,42.00
Athena,PS,75.66
Athena [5 screw],PS,110.38
Athletic World,PS,35.16
"Athletic World, Family Fun Fitness",PS,685.31
Attack of the Killer Tomatoes,PS,109.05
Aussie Rules Footy [AUS],PS,63.60
Baby Boomer [Black],PS,0.00
Baby Boomer [Blue],PS,86.18
Back to the Future,PS,48.30
Back to the Future II & III,PS,59.44
Bad Dudes,PS,47.90
Bad News Baseball,PS,35.94
Bad Street Brawler,PS,41.77
Balloon Fight,PS,139.48
Balloon Fight [5 Screw],PS,221.00
Banana Prince [PAL],PS,175.00
Bandai Golf: Challenge Pebble Beach,PS,12.49
Bandit Kings of Ancient China,PS,133.15
Barbie,PS,26.99
Bard's Tale,PS,38.87
Barker Bill's Trick Shooting,PS,24.74
Baseball,PS,41.32
Baseball Simulator 1.000,PS,24.05
Baseball Stars,PS,43.06
Baseball Stars II,PS,49.56
Baseball [5 Screw],PS,90.62
Bases Loaded,PS,10.18
"Bases Loaded 3, Ryne Sandberg Plays",PS,25.11
Bases Loaded 4,PS,107.56
Bases Loaded II: Second Season,PS,14.19
Batman Returns,PS,71.08
Batman: Return of the Joker,PS,141.33
Batman: The Video Game,PS,57.63
Battle Chess,PS,26.62
The Battle of Olympus,PS,56.96
Battleship,PS,47.99
Battletoads,PS,132.94
Battletoads & Double Dragon,PS,290.27
Beauty and the Beast [PAL],PS,152.87
Bee 52,PS,44.24
Beetlejuice,PS,117.91
Best of the Best: Championship Karate,PS,134.14
Bible Adventures,PS,55.46
Bible Buffet,PS,123.84
Big Nose Freaks Out,PS,235.20
Big Nose Freaks Out [Aladdin Deck Enhancer],PS,0.00
Big Nose the Caveman,PS,37.40
Bigfoot,PS,22.54
Bill & Ted's Excellent Video Game Adventure,PS,65.61
Bill Elliott's NASCAR Challenge,PS,20.71
Bionic Commando,PS,67.06
The Black Bass,PS,25.09
Blackjack,PS,84.01
Blades of Steel,PS,22.67
Blades of Steel [Red Label],PS,49.89
Blaster Master,PS,48.32
Blue Marlin,PS,39.77
The Blues Brothers,PS,84.47
Bo Jackson Baseball,PS,25.78
Bomberman,PS,68.83
Bomberman II,PS,246.62
Bonk's Adventure,PS,"1,424.23"
Boulder Dash,PS,43.04
"A Boy and His Blob: Trouble on Blobolonia, David Crane's",PS,52.79
Bram Stoker's Dracula,PS,93.79
Break Time: The National Pool Tour,PS,28.73
Breakthru,PS,43.13
Breakthru [5 Screw],PS,31.98
Bubble Bath Babes,PS,"2,632.98"
Bubble Bobble,PS,63.56
Bubble Bobble Part 2,PS,833.55
Bucky O'Hare,PS,496.33
Bugs Bunny Birthday Blowout,PS,30.36
Bugs Bunny Crazy Castle,PS,39.49
Bump 'n' Jump,PS,38.33
Burai Fighter,PS,40.25
BurgerTime,PS,40.70
BurgerTime [5 Screw],PS,52.45
Cabal,PS,37.54
Caesar's Palace,PS,18.76
California Games,PS,27.04
Capcom's Gold Medal Challenge '92,PS,31.80
Captain America and the Avengers,PS,105.37
Captain Comic: The Adventure [Black],PS,30.65
Captain Comic: The Adventure [Blue],PS,39.14
Captain Planet and the Planeteers,PS,60.85
Captain Skyhawk,PS,15.79
Casino Kid,PS,20.57
Casino Kid II,PS,164.66
Castelian,PS,50.37
Castelvania [5 Screw],PS,129.60
Castle of Deceit [Black],PS,155.12
Castle of Deceit [Blue],PS,169.46
Castle of Dragon,PS,44.76
Castlequest,PS,34.46
Castlevania,PS,199.48
Castlevania II: Simon's Quest,PS,90.00
