Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Price,2600,Gen,N64,NES,PS,SAT,SCD,SNES,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy,Price_bin_custom_range,Price_bin_custom_label
1998,200000,50000,0,0,250000,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(10, 20]",2
1999,430000,100000,0,10000,540000,76,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(40, 80]",4
1999,170000,40000,0,0,210000,49,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(40, 80]",4
1998,200000,50000,0,0,250000,33,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1998,720000,170000,0,10000,910000,60,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(40, 80]",4
1998,70000,20000,0,0,90000,22,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(20, 40]",3
1997,5800000,2009999,130000,150000,8090000,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(80, 140]",5
2000,40000,10000,0,0,50000,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(40, 80]",4
1996,150000,40000,0,0,190000,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(40, 80]",4
1998,830000,60000,930000,0,1830000,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"(80, 140]",5
1999,250000,60000,0,0,310000,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(40, 80]",4
1999,160000,40000,50000,0,250000,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(40, 80]",4
2000,130000,30000,0,0,160000,68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(40, 80]",4
1998,60000,20000,0,0,80000,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(40, 80]",4
2000,80000,20000,0,0,100000,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(20, 40]",3
1998,60000,300000,190000,30000,580000,95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(80, 140]",5
1997,90000,260000,230000,20000,600000,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(40, 80]",4
1998,80000,20000,0,0,100000,25,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(20, 40]",3
1999,230000,60000,0,0,290000,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(10, 20]",2
1999,780000,280000,70000,20000,1160000,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(40, 80]",4
1999,230000,60000,0,0,290000,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(20, 40]",3
1996,610000,190000,0,10000,820000,123,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(80, 140]",5
2000,630000,60000,1030000,40000,1770000,110,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(80, 140]",5
1999,630000,270000,0,20000,920000,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(10, 20]",2
1998,1020000,130000,40000,10000,1190000,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(20, 40]",3
